,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20,d21,d22,d23
d01,1.0,-0.2953531067588641,0.5758767489752138,0.5758767489752138,-0.1705466409050204,-0.1705466409050204,-0.2953531067588641,-0.0729677487521567,-0.11702405959283904,-0.28383133679006817,0.38359966499673476,-0.35286214640481167,-0.29101136292465973,0.5092055245907401,,-0.054429384852015816,-0.15171653584685532,0.5379761421376201,-0.10580968316666538,-0.2953531067588641,-0.1705466409050204,0.5758767489752138,-0.16318210563190666
d02,-0.2953531067588641,1.0,0.25339016997434904,0.25339016997434904,-0.07446444821195172,-0.07446444821195172,1.0,0.2503330894470753,-0.05109530143109979,0.9600415804843406,-0.11356696727672295,0.8375137910045438,-0.12706201921421367,-0.15022332520387868,,-0.023765077330245226,-0.0662428064634629,-0.1588494492955885,-0.046198855812558136,1.0,-0.07446444821195172,0.25339016997434904,-0.0712489286770043
d03,0.5758767489752138,0.25339016997434904,1.0,1.0,0.14548692977234304,0.14548692977234304,0.2533901699743491,0.06482457639890953,0.09938795004858084,0.2428625433318404,0.22047980008023071,0.3022742882476917,0.24830982846688354,0.2935117685862633,,0.04911083991293054,0.12818572622185861,0.30987669763167347,0.09072214816196436,0.2533901699743491,0.14548692977234304,1.0,0.13952854226466146
d04,0.5758767489752138,0.25339016997434904,1.0,1.0,0.14548692977234304,0.14548692977234304,0.2533901699743491,0.06482457639890953,0.09938795004858084,0.2428625433318404,0.22047980008023071,0.3022742882476917,0.24830982846688354,0.2935117685862633,,0.04911083991293054,0.12818572622185861,0.30987669763167347,0.09072214816196436,0.2533901699743491,0.14548692977234304,1.0,0.13952854226466146
d05,-0.1705466409050204,-0.07446444821195172,0.14548692977234304,0.14548692977234304,1.0,1.0,-0.07446444821195172,-0.018396634481769526,-0.029504114992154218,-0.07155957867269044,-0.06557731861824972,0.48253415288847484,-0.07336980741931524,-0.08674391063718098,,-0.013722740735652949,-0.03825078479939134,-0.09172491965386402,-0.0266767455367254,-0.07446444821195172,1.0,0.14548692977234304,-0.041141485143968336
d06,-0.1705466409050204,-0.07446444821195172,0.14548692977234304,0.14548692977234304,1.0,1.0,-0.07446444821195172,-0.018396634481769526,-0.029504114992154218,-0.07155957867269044,-0.06557731861824972,0.48253415288847484,-0.07336980741931524,-0.08674391063718098,,-0.013722740735652949,-0.03825078479939134,-0.09172491965386402,-0.0266767455367254,-0.07446444821195172,1.0,0.14548692977234304,-0.041141485143968336
d07,-0.2953531067588641,1.0,0.2533901699743491,0.2533901699743491,-0.07446444821195172,-0.07446444821195172,1.0,0.2503330894470753,-0.05109530143109979,0.9600415804843406,-0.11356696727672295,0.8375137910045438,-0.12706201921421367,-0.15022332520387868,,-0.023765077330245226,-0.0662428064634629,-0.1588494492955885,-0.046198855812558136,1.0,-0.07446444821195172,0.25339016997434904,-0.0712489286770043
d08,-0.0729677487521567,0.2503330894470753,0.06482457639890953,0.06482457639890953,-0.018396634481769526,-0.018396634481769526,0.2503330894470753,1.0,-0.012623226341357518,-0.030616500739565983,-0.028057012928454226,0.209791265404666,-0.031391000405269154,-0.03711306094077981,,-0.005871223806441036,-0.01636545662819191,-0.03924416720316536,-0.011413546790013026,0.25033308944707533,-0.018396634481769522,0.06482457639890953,-0.01760223206593412
d09,-0.11702405959283904,-0.05109530143109979,0.09938795004858084,0.09938795004858084,-0.029504114992154218,-0.029504114992154218,-0.05109530143109979,-0.012623226341357518,1.0,-0.04910206588996937,-0.04499721601784345,-0.06104421223813154,0.40143434704638103,-0.05952110527568125,,-0.009416138723720066,-0.026246556930604636,-0.06293892630638183,-0.018304793591164305,-0.051095301431099784,-0.02950411499215423,0.0993879500485808,-0.028230069989517055
d10,-0.28383133679006817,0.9600415804843406,0.2428625433318404,0.2428625433318404,-0.07155957867269044,-0.07155957867269044,0.9600415804843406,-0.030616500739565983,-0.04910206588996937,1.0,-0.10913670247479215,0.8040093725681939,-0.12210531036756582,-0.144363090260222,,-0.022837998020688862,-0.06365866442908791,-0.15265270792882946,-0.044396631365575576,0.9600415804843404,-0.07155957867269043,0.24286254333184043,-0.068469497047699
d11,0.38359966499673476,-0.11356696727672295,0.22047980008023071,0.22047980008023071,-0.06557731861824972,-0.06557731861824972,-0.11356696727672295,-0.028057012928454226,-0.04499721601784345,-0.10913670247479215,1.0,-0.13567991301567006,-0.11189751241520807,-0.132294579458204,,-0.02092877991436828,-0.05833690747639491,-0.13989119907448577,-0.04068514788151552,-0.11356696727672295,-0.06557731861824972,0.2204798000802307,-0.06274556260407316
d12,-0.35286214640481167,0.8375137910045438,0.3022742882476917,0.3022742882476917,0.48253415288847484,0.48253415288847484,0.8375137910045438,0.209791265404666,-0.06104421223813154,0.8040093725681939,-0.13567991301567006,1.0,-0.1518026247242548,-0.1794737341794383,,-0.0283924428229347,-0.07914113086225663,-0.18977947531606348,-0.0551943658299685,0.8375137910045438,0.48253415288847484,0.3022742882476917,-0.0851220093057557
d13,-0.29101136292465973,-0.12706201921421367,0.24830982846688354,0.24830982846688354,-0.07336980741931524,-0.07336980741931524,-0.12706201921421367,-0.031391000405269154,0.40143434704638103,-0.12210531036756582,-0.11189751241520807,-0.1518026247242548,1.0,-0.14801501528253022,,0.19102368485470805,0.5194458276274241,-0.15651433379735127,0.36424835817366275,-0.12706201921421367,-0.07336980741931526,0.24830982846688351,0.561176279113574
d14,0.5092055245907401,-0.15022332520387868,0.2935117685862633,0.2935117685862633,-0.08674391063718098,-0.08674391063718098,-0.15022332520387868,-0.03711306094077981,-0.05952110527568125,-0.144363090260222,-0.132294579458204,-0.1794737341794383,-0.14801501528253022,1.0,,-0.027684026320222092,-0.07716648981090955,-0.1850443099402409,-0.05381721769746834,-0.15022332520387868,-0.08674391063718098,0.2935117685862634,-0.08299814005955211
d15,,,,,,,,,,,,,,,,,,,,,,,
d16,-0.054429384852015816,-0.023765077330245226,0.04911083991293054,0.04911083991293054,-0.013722740735652949,-0.013722740735652949,-0.023765077330245226,-0.005871223806441036,-0.009416138723720066,-0.022837998020688862,-0.02092877991436828,-0.0283924428229347,0.19102368485470805,-0.027684026320222092,,1.0,-0.012207608872796573,-0.029273698537051338,-0.008513793304356896,-0.02376507733024523,-0.013722740735652945,0.04911083991293054,-0.013130166131690066
d17,-0.15171653584685532,-0.0662428064634629,0.12818572622185861,0.12818572622185861,-0.03825078479939134,-0.03825078479939134,-0.0662428064634629,-0.01636545662819191,-0.026246556930604636,-0.06365866442908791,-0.05833690747639491,-0.07914113086225663,0.5194458276274241,-0.07716648981090955,,-0.012207608872796573,1.0,-0.08159754414902343,-0.023731358172888267,-0.0662428064634629,-0.03825078479939134,0.12818572622185861,-0.036599041602431354
d18,0.5379761421376201,-0.1588494492955885,0.30987669763167347,0.30987669763167347,-0.09172491965386402,-0.09172491965386402,-0.1588494492955885,-0.03924416720316536,-0.06293892630638183,-0.15265270792882946,-0.13989119907448577,-0.18977947531606348,-0.15651433379735127,-0.1850443099402409,,-0.029273698537051338,-0.08159754414902343,1.0,-0.05690751008381421,-0.1588494492955885,-0.091724919653864,0.3098766976316734,-0.08776405943034955
d19,-0.10580968316666538,-0.046198855812558136,0.09072214816196436,0.09072214816196436,-0.0266767455367254,-0.0266767455367254,-0.046198855812558136,-0.011413546790013026,-0.018304793591164305,-0.044396631365575576,-0.04068514788151552,-0.0551943658299685,0.36424835817366275,-0.05381721769746834,,-0.008513793304356896,-0.023731358172888267,-0.05690751008381421,1.0,-0.046198855812558136,-0.026676745536725405,0.09072214816196436,-0.02552479183986824
d20,-0.2953531067588641,1.0,0.2533901699743491,0.2533901699743491,-0.07446444821195172,-0.07446444821195172,1.0,0.25033308944707533,-0.051095301431099784,0.9600415804843404,-0.11356696727672295,0.8375137910045438,-0.12706201921421367,-0.15022332520387868,,-0.02376507733024523,-0.0662428064634629,-0.1588494492955885,-0.046198855812558136,1.0,-0.07446444821195172,0.25339016997434904,-0.0712489286770043
d21,-0.1705466409050204,-0.07446444821195172,0.14548692977234304,0.14548692977234304,1.0,1.0,-0.07446444821195172,-0.018396634481769522,-0.02950411499215423,-0.07155957867269043,-0.06557731861824972,0.48253415288847484,-0.07336980741931526,-0.08674391063718098,,-0.013722740735652945,-0.03825078479939134,-0.091724919653864,-0.026676745536725405,-0.07446444821195172,1.0,0.14548692977234304,-0.041141485143968336
d22,0.5758767489752138,0.25339016997434904,1.0,1.0,0.14548692977234304,0.14548692977234304,0.25339016997434904,0.06482457639890953,0.0993879500485808,0.24286254333184043,0.2204798000802307,0.3022742882476917,0.24830982846688351,0.2935117685862634,,0.04911083991293054,0.12818572622185861,0.3098766976316734,0.09072214816196436,0.25339016997434904,0.14548692977234304,1.0,0.13952854226466146
